"","Compound","RT","Type","Filename","Status","Area"
"59","LPS (22:6)","2.64","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"60","PC (32:0)","12.72,12.72","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",57334601
"61","PC (32:1-16:1_16:0ev18:4_14:0)","11.98","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",98448553
"62","PC (34:1-18:1_16:0)","12.95","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"63","PC (34:2-18:2_16:0)","12.15","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",1536862788
"64","PC (34:3-18:2_16:1ev18:3_16:0)","11.49","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",658504407
"65","PC (36:0)_nurExactMass","15.07","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",1412124
"66","PC (36:1-18:1_18:0)","14.1","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",260750858
"67","PC (36:2-18:2_18:0ev18:1_18:1)","13.16","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",409260935
"68","PC (36:3-18:2_18:1)","12.33,12.33","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",397294427
"69","PC (36:3-20:3_16:0ev18:2_18:1)","12.47","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",244114116
"70","PC (36:4-18:2_18:2)","11.72","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",9151484
"71","PC (36:4-20:4_16:0)","12.07","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"72","PC (36:5-20:5_16:0)","11.46","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"73","PC (36:6-22:6_14:0)","10.95,10.95","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",119745
"74","PC (38:4-18:0_20:4)","13.19","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",222027
"75","PC (38:5-20:4_18:1)","12.38","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",1150253
"76","PC (38:5-22:5_16:0)_12.07","12.07","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",17273918
"77","PC (38:5-22:5_16:0)_12.45","12.45","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",158307
"78","PC (38:6-22:6_16:0)","11.79,11.79","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"79","PC (38:7-22:6_16:1)","11.13,11.13","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"80","PC (40:6-22:6_18:0)","12.80,12.80","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",17590
"81","PC (40:7-22:6_18:1)","11.95,11.95","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",289743
"82","PC (40:8-22:6_18:2)","11.38,11.38","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",389533
"83","PC (40:9-22:6_18:3)","10.65,10.65","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",318012
"84","PC (42:10-22:6_20:4)","10.98,10.98","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",850616
"85","PC (44:12-22:6_22:6)_10.93","10.93,10.93","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"86","PC (44:12-22:6_22:6)_11.70","11.70,11.70","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",31148
"87","PE (34:1-18:1_16:0)","13.26","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",11846668
"88","PE (34:2-18:2_16:0)","12.41","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",9745570
"89","PE (36:1-18:1_18:0)","14.45","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",762854
"90","PE (36:2-18:1_18:1)","13.48","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",96689226
"91","PE (36:2-18:2_18:0)","13.51","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",96689285
"92","PE (36:3-18:2_18:1)","12.62","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",9315939
"93","PE (36:4-20:4_16:0)","12.33","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",4232880
"94","PE (38:3-20:3_18:0)","13.82","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",9654863
"95","PE (38:4-20:4_18:0)","13.38","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",198017977
"96","PE (38:5-20:4_18:1ev20:5_18:0)","12.57","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",57059348
"97","PE (38:5-22:5_16:0)","12.31","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",2123901
"98","PE (38:6-20:5_18:1ev20:4_18:2)","11.82","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",1011190
"99","PE (38:6-22:6_16:0)","12.03","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",166792
