"","LPC (16:0)_1","LPC (16:0)_2","LPC (16:1)_1","LPC (18:0)","LPC (18:1)_1","LPC (18:1)_2","LPC (18:2)_1","LPC (18:2)_2","LPC (18:3)_1","LPC (18:3)_2","LPC (20:2)_1","LPC (20:3)_1","LPC (20:3)_2","LPC (20:4)_1","LPC (20:4)_2","LPC (20:4)_3","LPC (20:5)_1","LPC (20:5)_3","LPC (22:4)_1","LPC (22:5)_1","LPC (22:5)_2","LPC (22:6)_1","LPE (20:4)_3.51","LPE (20:4)_3.71","LPE (20:6)_3.60","LPS (18:0)","PC (32:0)","PC (32:1-16:1_16:0ev18:4_14:0)","PC (34:1-18:1_16:0)","PC (34:2-18:2_16:0)","PC (34:3-18:2_16:1ev18:3_16:0)","PC (36:0)_nurExactMass","PC (36:1-18:1_18:0)","PC (36:2-18:2_18:0ev18:1_18:1)","PC (36:3-18:2_18:1)","PC (36:4-20:4_16:0)","PC (36:5-20:5_16:0)","PC (36:6-22:6_14:0)","PC (38:5-20:4_18:1)","PC (38:5-22:5_16:0)_12.07","PC (38:6-22:6_16:0)","PC (38:7-22:6_16:1)","PC (40:6-22:6_18:0)","PC (40:7-22:6_18:1)","PC (40:8-22:6_18:2)","PC (40:9-22:6_18:3)","PE (34:1-18:1_16:0)","PE (34:2-18:2_16:0)","PE (36:1-18:1_18:0)","PE (36:2-18:1_18:1)","PE (36:2-18:2_18:0)","PE (36:3-18:2_18:1)","PE (36:4-20:4_16:0)","PE (38:4-20:4_18:0)","PE (38:5-20:4_18:1ev20:5_18:0)","PE (38:5-22:5_16:0)","PE (38:6-20:5_18:1ev20:4_18:2)","PE (40:5-22:5_18:0)","PE (40:6-22:5_18:1)","PI (36:2-18:2_18:0)","PI (38:4-18:0_20:4)","PI (38:5-18:0_20:5)","P-PC (34:0)","P-PE (34:1-P16:0_18:1)","P-PE (34:2-P16:0_18:2)","P-PE (34:3-P16:0_18:3)","P-PE (36:0)_nurExactmass","P-PE (36:1-P18:0_18:1)","P-PE (36:2-P18:0_18:2)","P-PE (36:2-P18:1_18:1)","P-PE (36:3-18:2_P18:1ev18:3_18:0)","P-PE (36:4-P16:0_20:4)_12.94","P-PE (36:4-P16:0_20:4ev18:3_P18:1ev18:2_P18:2)_12.52","P-PE (36:4-P18:1_18:3)_12.41","P-PE (36:5-P16:0_20:5)","P-PE (38:4-P18:0_20:4)","P-PE (38:4-P18:0_20:4evP18:1_20:3)","P-PE (38:5-P16:0_22:5)","P-PE (38:5-P18:0_20:5)","P-PE (38:6-P18:0_20:6)","P-PE (38:6-P18:1_20:5)","P-PE (40:5-P18:0_22:5)","P-PE (40:6-P18:0_22:6)","P-PE (40:6-P18:1_22:5)"
"LPC (16:0)_1",1,1.39861600308867,1.32155794478203,1.12169862278418,1.06723901115633,1.16942206159039,1.05799222833854,1.22752828497559,1.20197988885492,1.40847118500086,1.46784435503956,1.29298023330489,1.58558931337349,1.47151697757183,1.21700126513164,1.52550611391823,1.32778764990395,1.24146217944589,1.49881910366357,1.28487552958919,1.60024142664251,1.66846165562582,1.33322686860456,1.65229710650432,1.33343054344645,1.35379645996527,0.999600365656526,0.921441137434826,0.811882949475711,0.819614009189165,0.881074105122649,1.29699096213168,0.905371914846711,0.875657367046535,0.88209637560901,0.91680354923958,0.971395662265117,1.38947755158579,1.15129148117248,0.954951515133536,1.12770071512701,1.38508014689711,1.43049136695814,1.26662915394193,1.08296107508733,1.67629363898455,1.11946872318404,1.0997370515483,1.07123919994074,0.959209637631397,0.959215079664514,1.05403531300066,1.18761520867012,0.942107488695722,1.02787110264369,1.25915397090824,1.30487709144315,1.04793868567769,1.31479401478861,1.18759485543566,1.12969298964959,1.22834776211623,0.948059509249109,1.03679256631724,0.95488561300283,1.04965776029663,1.30226928894157,1.04123562015504,0.925344738080547,0.925356231092886,0.97187060047366,0.985447058867096,1.13342116782669,1.15141185409929,1.04684185251013,1.11168175248114,0.963353256681777,0.994410175018249,0.994223386088883,1.23229311656699,1.14786435235178,1.01234705009702,1.18875877580835,1.11482843533424
"LPC (16:0)_2",0.714992533898956,1,0.944904063634003,0.802006140575428,0.763067924862483,0.836128043013851,0.756456544185172,0.877673558907333,0.859406646427966,1.00704638148743,1.04949775477901,0.924471213291923,1.13368452089202,1.05212365246941,0.870146818314705,1.09072548186874,0.949358256284566,0.887636189421734,1.07164446878458,0.918676410645735,1.14416067248521,1.19293762686915,0.953247257045746,1.18138009493344,0.953392883037039,0.967954361294003,0.714706798327082,0.658823533693262,0.580490247274996,0.586017897249243,0.629961406974398,0.927338854458577,0.647334159517199,0.62608847969189,0.630692322739771,0.655507692758363,0.69454064598139,0.993466075404039,0.823164813379792,0.682783203555974,0.806297591788325,0.990321963883103,1.02279064718198,0.905630388287232,0.77430908319063,1.19853743649627,0.800411779009985,0.786303781109084,0.765928029977523,0.685827729350371,0.685831620363419,0.75362737926132,0.849136007343989,0.673599820547736,0.734920164200728,0.900285688228615,0.93297737803764,0.749268336243434,0.940067904188888,0.849121454933308,0.807722053197445,0.878259478944597,0.677855470805021,0.741298944118764,0.682736084024551,0.750497461761193,0.931112818719124,0.744475694440502,0.661614579010276,0.66162279642829,0.694880223254562,0.704587289642658,0.81038767275912,0.823250879123747,0.748484108717696,0.794844153095721,0.688790386034715,0.710995850771202,0.71086229808129,0.881080377920473,0.820714441860283,0.723820582533999,0.849953649309835,0.797094007842233
"LPC (16:1)_1",0.756682674375606,1.05830849764166,1,0.848769913731766,0.807561269159753,0.884881413038049,0.800564388807811,0.928849385547028,0.909517356844437,1.06576574304743,1.11069239213847,0.978375740851936,1.19978796210484,1.11347140197816,0.920883772018304,1.15432404605599,1.00471390993222,0.939392922079282,1.1341304477654,0.972243051969319,1.21087496235849,1.2624960276721,1.00882967248512,1.25026459341277,1.00898378970918,1.02439432588675,0.756380277991814,0.697238544153885,0.614337761489236,0.62018772042897,0.6666935101873,0.981410589866794,0.685079241830773,0.662594758333474,0.667467044552855,0.693729361515653,0.735038267599632,1.0513935897188,0.871162316959444,0.722595266370281,0.85331159301759,1.04806614977866,1.0824280332211,0.958436335646892,0.819457882541765,1.26842235378565,0.847082587338745,0.832151973275511,0.810588142707148,0.725817313889782,0.725821431781955,0.797570259527667,0.898647852225653,0.712876414095565,0.777772254861833,0.952779994157513,0.987377887284668,0.792957047260254,0.994881851363285,0.898632451285768,0.854819112631424,0.929469469701402,0.717380204925841,0.784522971853677,0.722545399369772,0.794257841240366,0.985404608313526,0.787884953714058,0.700192331130183,0.700201027693497,0.735397645113436,0.74567071595913,0.857640160465024,0.871253401067628,0.792127092605681,0.841190321521989,0.728952718634417,0.752452950659124,0.752311610712507,0.93245485105856,0.868569067957969,0.766025473263667,0.899513169666137,0.843571361918682
"LPC (18:0)",0.891505061776657,1.24687324623539,1.17817559720434,1,0.951448980571386,1.04254568726112,0.94320542688417,1.09434767952975,1.07157115506791,1.25565919079483,1.30859067241806,1.15269842276847,1.41356089877144,1.31186483399557,1.08496278805345,1.35999642232934,1.1837294108539,1.10676981698029,1.33620481760362,1.14547303838172,1.4266233319165,1.48744201137068,1.18857850185761,1.47303123400753,1.18876007901011,1.20691639667436,0.891148785736591,0.821469438152388,0.723797759027758,0.7306900378952,0.78548202451718,1.15627400781897,0.807143644876267,0.780652975104006,0.786393383830276,0.81733500480189,0.86600414989724,1.23872627046377,1.02638218304561,0.851344109492835,1.00535089570489,1.23480596192513,1.27529029447099,1.12920630213312,0.965465280147448,1.49442426417874,0.998012033219223,0.980421148078645,0.95501516912075,0.855140247253343,0.855145098853413,0.93967781683143,1.05876496997236,0.839893594909931,0.916352290860806,1.12254213862087,1.16330453201797,0.934242642713239,1.1721455193777,1.05874682496081,1.00712701852621,1.09507824754865,0.845199851361074,0.924305820884229,0.851285357409729,0.935775206437598,1.1609796628877,0.928266825870374,0.824949517887202,0.824959763965878,0.866427559714187,0.878531041092936,1.01045070824231,1.02648949611916,0.933264810392435,0.991069909421681,0.858834304610832,0.886521704510981,0.886355181234967,1.098595551012,1.0233268803546,0.902512519436157,1.05978446586457,0.993875193113022
"LPC (18:1)_1",0.936997232622258,1.31049932439529,1.23829613701073,1.05102850538497,1,1.09574523547761,0.991335790089064,1.15019060598767,1.12625182952467,1.319733602574,1.37536609859227,1.21151890044196,1.48569279870639,1.37880733574147,1.14032681752613,1.42939500708972,1.24413335347001,1.16324662654599,1.40438935233414,1.20392481548913,1.49942178829152,1.56334395405774,1.24922988634011,1.54819781626431,1.24942072910332,1.26850353652127,0.936622776348362,0.863387795800738,0.760732076871938,0.767976058428681,0.825563998235054,1.21527694225347,0.848330978705283,0.820488529647896,0.826521862851766,0.85904238849575,0.91019504732368,1.30193662062663,1.07875693180019,0.894786926968555,1.05665244930015,1.29781626460262,1.34036645212981,1.18682801200226,1.01473153039446,1.57068250079082,1.04893909563062,1.03045057391292,1.00374816582096,0.898776775965217,0.898781875135188,0.987628171367752,1.11279216394401,0.882752109740597,0.963112378669529,1.17982378618635,1.22266622359442,0.981915648437803,1.23195835332523,1.11277309301965,1.05851920501443,1.15095845380065,0.888329136527631,0.971471765442582,0.89472517685446,0.983526416598423,1.22022271986721,0.975634894592992,0.86704545880304,0.867056227723797,0.910640063110752,0.923361167054212,1.0620124976491,1.0788697208995,0.980887918795151,1.04164272563149,0.902659335548465,0.931759582083515,0.931584561373614,1.15465524000273,1.07554572157936,0.948566384394211,1.11386368318785,1.04459115875678
"LPC (18:1)_2",0.855123255191563,1.1959890693242,1.13009493166629,0.9591905776591,0.912620897287429,1,0.904713758264225,1.04968798288804,1.02784095523241,1.20441646456145,1.25518784299599,1.10565746600202,1.3558742950489,1.25832838793087,1.04068608341162,1.30449575394839,1.13542209738902,1.06160318008498,1.28167507086809,1.09872694537829,1.36840365784293,1.42674036212106,1.14007329978999,1.41291768025758,1.14024746688378,1.15766283571232,0.854781518570886,0.787945744910685,0.694259990590197,0.700870999538447,0.753426956837473,1.10908713349208,0.774204578982738,0.748794978141307,0.754301124103456,0.783980035396928,0.830663020795111,1.18817456692764,0.984496119054526,0.816601248171105,0.964323106401262,1.18441424391587,1.22324643423668,1.08312404523936,0.926065199774435,1.43343767322538,0.957283738654279,0.940410727374753,0.916041551742135,0.82024246774248,0.820247121351554,0.901330107939981,1.015557383153,0.805618022473835,0.878956483210016,1.07673184239044,1.11583074605977,0.896116740137876,1.12431093783242,1.0155399786289,0.966026746676244,1.05038873684811,0.810707733664414,0.886585434267612,0.816544893726571,0.897586760821943,1.11360075349572,0.890384792928383,0.791283804601822,0.791293632543945,0.831069151502016,0.842678696797383,0.969214798534983,0.98459905274354,0.89517881258923,0.950624918918734,0.823785772753115,0.850343265857217,0.850183538299904,1.05376250118892,0.98156550150141,0.865681504862537,1.01653527400678,0.953315720603129
"LPC (18:2)_1",0.945186527098024,1.3219530027031,1.24911876418733,1.06021442572001,1.00873993453838,1.10532197710643,1,1.16024319659067,1.13609519678845,1.3312679878686,1.38738670826028,1.22210749632384,1.49867765651123,1.39085802159689,1.15029319926367,1.44188782588117,1.25500699753636,1.173413325914,1.41666362333994,1.21444703956564,1.51252663656662,1.57700747787719,1.26014807377012,1.56172896383093,1.26034058448658,1.27959017439217,0.944808798100807,0.870933748617276,0.767380825425047,0.774688118906394,0.832779373536876,1.22589838317477,0.85574533592605,0.827659545686514,0.833745609827634,0.8665503627369,0.918150092454451,1.31331546146404,1.08818519676695,0.902607306136063,1.06588752253686,1.3091590937981,1.35208116717887,1.19720081113548,1.02360021754414,1.58441016302832,1.05810675466118,1.03945664447396,1.01252085908326,0.906632026151774,0.906637169888156,0.99625997693377,1.12251789461171,0.89046730539335,0.971529917812209,1.19013536884445,1.23335224635092,0.990497526927365,1.24272558868731,1.12249865700871,1.06777059357388,1.16101775534327,0.896093075029422,0.979962365078438,0.902545016330012,0.992122373096265,1.23088738656109,0.984161879705098,0.874623379354782,0.874634242395201,0.91859899765037,0.931431283209552,1.0712944173575,1.08829897163561,0.989460814994913,1.05074661486589,0.91054851905162,0.939903099836437,0.939726549456989,1.16474685121475,1.084945920779,0.956856792499128,1.1235987788636,1.05372081710369
"LPC (18:2)_2",0.81464517945498,1.13937578482478,1.07660080908712,0.913786375852421,0.869421115764807,0.952664045222913,0.861888268716821,1,0.979187122257495,1.14740426126219,1.19577232802318,1.0533201141924,1.29169269073505,1.19876421226505,0.991424214030101,1.24274620193259,1.08167580833411,1.01135117996126,1.22100575767456,1.0467176563795,1.30362896417848,1.35920424486105,1.08610684162857,1.34603587284116,1.08627276435669,1.10286376007392,0.814319619263524,0.750647580762795,0.661396531072079,0.667694601599723,0.717762772480776,1.05658743509725,0.737556866043798,0.7133500529187,0.718595560204589,0.74686959189524,0.791342793607755,1.13193118936027,0.937894055284744,0.777946648416765,0.918675951446152,1.12834886482853,1.16534289634442,1.03185333441593,0.882229019357279,1.36558453234981,0.911969798892499,0.895895487711854,0.872679850274937,0.781415507383176,0.781419940709221,0.858664786711307,0.967485004790536,0.767483324194407,0.83735023886976,1.025763712592,1.0630118323254,0.853698198651719,1.0710906061238,0.967468424126196,0.920298948282121,1.0006675831023,0.772332109046241,0.844618066245096,0.777892961563669,0.855098634503163,1.06088739858851,0.848237578636119,0.753827630211348,0.753836992938448,0.791729699729884,0.802789696114168,0.923336090662248,0.937992116509309,0.8528046687991,0.905626180746825,0.784791086668066,0.8100914554796,0.809939288778716,1.00388164708685,0.935102161311591,0.824703644297004,0.968416606247079,0.908189610764373
"LPC (18:3)_1",0.831960675276073,1.16359351438157,1.09948424015732,0.933209143667766,0.887900888402592,0.972913168043475,0.880207928725365,1.02125526088877,1,1.17179263818021,1.22118878081888,1.07570870801895,1.31914795586473,1.22424425834086,1.01249719435075,1.26916109667319,1.10466710983732,1.0328477131415,1.24695855360062,1.06896591324272,1.33133793791425,1.38809448568669,1.10919232590046,1.37464621648404,1.10936177535945,1.12630541701906,0.831628195217813,0.766602790927431,0.675454686890942,0.681886624550747,0.733019007466101,1.07904547668204,0.753233829651861,0.728512494398503,0.733869496310248,0.762744499920861,0.808162991138335,1.15599068209826,0.957829238115845,0.794482107386405,0.938202648466377,1.152332214324,1.19011256363109,1.05378564623789,0.90098102732736,1.39461038785057,0.931353954890637,0.91493798003224,0.891228888164902,0.798024697855134,0.798029225412681,0.876915930768854,0.98804915097333,0.783796382477938,0.855148336652209,1.04756658791337,1.08560642614932,0.871843776584332,1.09385691639247,0.988032217882643,0.939860142523517,1.02193703364407,0.788748229516791,0.862570643594503,0.794427279405241,0.873273979065157,1.08343683701912,0.866267089665687,0.769850433156652,0.769859994890959,0.808558121051029,0.819853200543889,0.942961840157289,0.957929383657322,0.870931254521584,0.924875501486297,0.801472025958375,0.82731016070958,0.827154759665771,1.02521941339713,0.954978001707919,0.842232935412454,0.989000553861875,0.927493417877638
"LPC (18:3)_2",0.709989675791194,0.993002922589303,0.938292496755074,0.796394441525968,0.7577286795226,0.830277590371629,0.75116355918768,0.871532409074337,0.853393311595642,1,1.04215433774647,0.918002616648558,1.12575204254003,1.04476186182746,0.864058333668285,1.08309359123829,0.942715523074858,0.881425330291814,1.06414608947975,0.912248360685065,1.13615489168955,1.18459054994782,0.946577312196662,1.17311388695773,0.946721919231622,0.961181509698007,0.709705939533236,0.654213694428022,0.576428512078659,0.581917484658136,0.625553518244046,0.920850192707983,0.642804712292469,0.62170769013354,0.626279319735228,0.650921054688825,0.689680891316583,0.986514716369535,0.817405065458812,0.678005716625969,0.800655865122524,0.9833926044403,1.01563410184871,0.899293622354906,0.768891182595739,1.19015117727348,0.794811235831818,0.78080195268434,0.760568772260747,0.681028939637704,0.681032803425033,0.748354190149807,0.843194536968393,0.668886590459532,0.729777870921133,0.893986319576337,0.926449263101081,0.744025647693354,0.933490176291967,0.843180086382056,0.802070359464896,0.872114229383743,0.673112463602534,0.736112018022297,0.677958926793555,0.745246172924718,0.924597750248454,0.739266540376119,0.656985210584895,0.656993370505,0.690018092541287,0.699657237834435,0.804717327480149,0.817490528994094,0.743246907468322,0.789282567027071,0.683970866383886,0.706020957764672,0.705888339553269,0.874915390311117,0.81497183937851,0.718755953886553,0.84400645783011,0.791516679365758
