Compound,RT,Type,Filename,Status,Group,Area,RT Delta,m/z (Delta),Group Average,Batch Order,Peak Label,Sample Type,Level,Sample ID,Sample Name,Comments,Height,Actual RT,Formula,Adduct,Calculated Amt,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),Response Ratio,ISTD Amt,ISTD Response,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Channel,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Modification,Protein Name,Peptide Sequence,Ion Type,S/N,Ion Ratio,Relative RT,Flag Details
dPC (33:1),"12.41,12.41,12.41",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,1579874,"N/A,0.14,N/A",N/A,873919.28,1,,Unknown,,1,,,354505,"0.00, 12.55, 0.00",,N/A,1,1,1,N/A,<multiple>,<multiple>,N/A,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,,0.013:Peak area 1.579.874 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000). 0.013:Apex Retention Time 0.013 is out of bounds (ISTD Min RT 0.000 and ISTD Max RT 0.000)
dPE (33:1),"12.71,12.71,12.71",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,N/F,"N/A,N/A,N/A",N/F,82400.24,1,,Unknown,,1,,,N/F,N/F,,N/A,N/F,1,N/F,N/A,<multiple>,N/F,N/F,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,,Internal Standard Compound has peaks that are not found.
dPG (33:1),"11.74,11.74,11.74",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,68609248,"0.20,N/A,-0.16",N/A,4704790.97,1,,Unknown,,1,,,19525598,"11.94, 0.00, 11.58",,N/A,1,1,1,N/A,<multiple>,<multiple>,N/A,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,,"0.012:Peak area 68.571.499 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000)
0.012:Peak area 37.749 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000). 0.012:Apex Retention Time 0.012 is out of bounds (ISTD Min RT 0.000 and ISTD Max RT 0.000)"
dPI (33:1),"11.43,11.43,11.43",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,486043,"-0.03,-0.04,N/A",N/A,30949928.36,1,,Unknown,,1,,,142123,"11.40, 11.39, 0.00",,N/A,1,1,1,N/A,<multiple>,<multiple>,N/A,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,,"0.011:Peak area 426.376 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000)
0.011:Peak area 59.666 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000). 0.011:Apex Retention Time 0.011 is out of bounds (ISTD Min RT 0.000 and ISTD Max RT 0.000)"
dPS (33:1),"11.52,11.52,11.52",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,2907236,"0.32,0.01,0.08",N/A,275070.59,1,,Unknown,,1,,,735278,"11.84, 11.53, 11.60",,N/A,1,1,1,N/A,<multiple>,<multiple>,N/A,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,,"0.012:Peak area 2.874.792 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000)
0.012:Peak area 7.547 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000)
0.012:Peak area 24.897 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000). 0.012:Apex Retention Time 0.012 is out of bounds (ISTD Min RT 0.000 and ISTD Max RT 0.000)"
dPS (33:1)-h2o,"11.52,11.52,11.52",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,536228,"-0.01,-0.09,0.03",N/A,78401.04,1,,Unknown,,1,,,188650,"11.51, 11.43, 11.55",,N/A,1,1,1,N/A,<multiple>,<multiple>,N/A,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,,"0.012:Peak area 334.134 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000)
0.011:Peak area 190.256 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000)
0.012:Peak area 11.838 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000). 0.012:Apex Retention Time 0.012 is out of bounds (ISTD Min RT 0.000 and ISTD Max RT 0.000)
0.011:Apex Retention Time 0.011 is out of bounds (ISTD Min RT 0.000 and ISTD Max RT 0.000)"
dSM (18:1),11.93,Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,N/F,N/F,N/F,418376.31,1,T1,Unknown,,1,,,N/F,N/F,,N/A,N/F,1,N/F,N/A,738.6475,N/F,N/F,N/A,N/A,Method,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,,Internal Standard Compound has peaks that are not found.
dTG (48:1),"19.07,19.07,19.07",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,122335180,"N/A,-0.03,0.05",N/A,12232661.96,1,,Unknown,,1,,,46491040,"0.00, 19.04, 19.12",,N/A,1,1,1,N/A,<multiple>,<multiple>,N/A,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,,"0.019:Peak area 119.325.605 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000)
0.019:Peak area 3.009.575 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000). 0.019:Apex Retention Time 0.019 is out of bounds (ISTD Min RT 0.000 and ISTD Max RT 0.000)"
LPC (16:0)_1,4.21,Target Compound,190729_fleisch_fisch_probe2_3_pos,Processed,,67317530,-0.03,-2.3334 (ppm),4541337.05,1,T1,Unknown,,1,,,17281559,4.18,,M+H,N/A,N/A,N/A,N/A,496.3403,496.3391,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,10024.67,N/A,0.00,
LPC (16:0)_2,3.93,Target Compound,190729_fleisch_fisch_probe2_3_pos,Processed,,441575,-0.04,-1.4111 (ppm),214464.96,1,T1,Unknown,,1,,,124318,3.89,,M+H,N/A,N/A,N/A,N/A,496.3403,496.3396,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,165.35,N/A,0.00,
